,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
474,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
475,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
476,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
477,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
478,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
479,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
480,919.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
481,864.0,18.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
482,864.0,18.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
483,984.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
484,984.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
485,1056.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
486,1041.0,18.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
487,1031.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
488,1031.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
489,976.0,18.4,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
490,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
491,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
492,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
493,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
