P/No,Watt,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Torque_division,shape_division
EAU62903305,124,2992,5.4,0.4,36.6,300,32.5,104,8,3~7,B
EAU61883002,30,1567,5.5,0.28,87,450,26.5,88,8,3~7,B
EAU62023302,100,2429,5.5,0.35,38,340,21,104,8,3~7,B
EAU62023304,100,2870,5.5,0.37,34.2,320,21,104,8,3~7,B
EAU63563101,100,2523,5.5,0.35,38,340,21,104,8,3~7,B
EAU61883002,30,1477,6,0.28,87,450,26.5,88,8,3~7,B
EAU62244103,250,1322,6,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1322,6,0.52,18.85,218,42,107,10,3~7,B
EAU62903304,124,2602,6.4,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,2602,6.4,0.4,36.6,300,32.5,104,8,3~7,B
EAU61883002,30,1400,6.5,0.28,87,450,26.5,88,8,3~7,B
EAU62023302,100,2139,6.5,0.35,38,340,21,104,8,3~7,B
EAU63563101,100,2230,6.5,0.35,38,340,21,104,8,3~7,B
EAU63563101,100,2167,6.9,0.35,38,340,21,104,8,3~7,B
EAU61883002,30,1322,7,0.28,87,450,26.5,88,8,3~7,B
EAU62023304,100,2395,7,0.37,34.2,320,21,104,8,3~7,B
EAU62244103,250,1290,8,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1290,8,0.52,18.85,218,42,107,10,3~7,B
EAU62023304,100,2077,8.5,0.37,34.2,320,21,104,8,3~7,B
EAU63563101,100,1874,8.5,0.35,38,340,21,104,8,3~7,B
EAU62903304,124,2024,9,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,2024,9,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903304,124,1943,9.4,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,1943,9.4,0.4,36.6,300,32.5,104,8,3~7,B
EAU63563101,100,1727,9.4,0.35,38,340,21,104,8,3~7,B
EAU62023302,100,1584,10,0.35,38,340,21,104,8,3~7,B
EAU62244103,250,1265,10,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1265,10,0.52,18.85,218,42,107,10,3~7,B
EAU62023304,100,1788,10.5,0.37,34.2,320,21,104,8,3~7,B
EAU62903304,124,1801,10.5,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,1801,10.5,0.4,36.6,300,32.5,104,8,3~7,B
EAU63563101,100,1607,10.5,0.35,38,340,21,104,8,3~7,B
EAU63563101,100,1551,10.9,0.35,38,340,21,104,8,3~7,B
EAU62023304,100,1731,11,0.37,34.2,320,21,104,8,3~7,B
EAU62903304,124,1741,11,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,1741,11,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903304,124,1686,11.4,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,1686,11.4,0.4,36.6,300,32.5,104,8,3~7,B
EAU63563101,100,1501,11.4,0.35,38,340,21,104,8,3~7,B
EAU62023304,100,1671,11.5,0.37,34.2,320,21,104,8,3~7,B
EAU62903304,124,1633,11.9,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,1633,11.9,0.4,36.6,300,32.5,104,8,3~7,B
EAU62244103,250,1235,12,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1235,12,0.52,18.85,218,42,107,10,3~7,B
EAU62903304,124,1621,12,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,1621,12,0.4,36.6,300,32.5,104,8,3~7,B
EAU63563101,100,1425,12,0.35,38,340,21,104,8,3~7,B
EAU63563101,100,1358,12.4,0.35,38,340,21,104,8,3~7,B
EAU62023304,100,1574,12.5,0.37,34.2,320,21,104,8,3~7,B
EAU62023304,100,1522,13,0.37,34.2,320,21,104,8,3~7,B
EAU62903304,124,1530,13,0.4,36.6,300,32.5,104,8,3~7,B
EAU62903305,124,1530,13,0.4,36.6,300,32.5,104,8,3~7,B
EAU62244103,250,1205,14,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1205,14,0.52,18.85,218,42,107,10,3~7,B
EAU62244103,250,1175,16,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1175,16,0.52,18.85,218,42,107,10,3~7,B
EAU62244103,250,1150,18,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1150,18,0.52,18.85,218,42,107,10,3~7,B
EAU62244103,250,1095,22,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1095,22,0.52,18.85,218,42,107,10,3~7,B
EAU62244103,250,1050,26,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1050,26,0.52,18.85,218,42,107,10,3~7,B
EAU62244103,250,1025,27.7,0.52,18.85,218,42,107,10,3~7,B
EAU62244104,250,1025,27.7,0.52,18.85,218,42,107,10,3~7,B
EAU31898201,124,1348,3.3,0.4,37,294,35,94,8,8~20,C
EAU62244101,250,1360,4,0.41,20.9,205,30.5,102,8,8~20,C
EAU62244102,250,1360,4,0.41,20.9,205,30.5,102,8,8~20,C
EAU31898201,124,1296,4.1,0.4,37,294,35,94,8,8~20,C
4681A20172Q,124,2235,5,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,2235,5,0.35,48.8,350,30,104,8,8~20,C
4681A20172Y,124,2640,5,0.35,43,320,30,104,8,8~20,C
EAU63483801,124,2588,5,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,2588,5,0.35,43,320,30,104,8,8~20,C
4681A20172H,124,2024,6,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,1949,6,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1949,6,0.35,48.8,350,30,104,8,8~20,C
4681A20172S,124,2120,6,0.35,43,320,30,104,8,8~20,C
4681A20172X,124,2120,6,0.35,43,320,30,104,8,8~20,C
4681A20172Y,124,2293,6,0.35,43,320,30,104,8,8~20,C
4681A20172Z,166,2309,6,0.4,37.2,300,36,104,8,8~20,C
EAU62244101,250,1272,6,0.41,20.9,205,30.5,102,8,8~20,C
EAU62244102,250,1272,6,0.41,20.9,205,30.5,102,8,8~20,C
EAU63483801,124,2293,6,0.35,43,320,30,104,8,8~20,C
EAU63483802,124,2293,6,0.35,43,320,30,104,8,8~20,C
EAU31898201,124,1216,6.1,0.4,37,294,35,94,8,8~20,C
4681A20172H,124,1806,7,0.35,43,320,30,104,8,8~20,C
4681A20172Q,124,1700,7,0.35,48.8,350,30,104,8,8~20,C
4681A20172R,124,1700,7,0.35,48.8,350,30,104,8,8~20,C
